school_id,class_id,legacy_student_id,attend_date,notes
110,29,11001797,20131204,LEGACY
110,29,11001797,20131207,LEGACY
110,29,11001797,20131209,LEGACY
110,30,11001797,20131209,LEGACY
110,30,11001797,20131212,LEGACY
110,29,11001797,20131212,LEGACY
110,29,11001797,20131216,LEGACY
110,30,11001797,20131216,LEGACY
110,29,11001797,20131230,LEGACY
110,30,11001797,20131230,LEGACY
110,30,11001797,20140109,LEGACY
110,29,11001797,20140109,LEGACY
110,29,11001797,20140113,LEGACY
110,29,11001797,20140115,LEGACY
110,31,11002699,20131105,LEGACY
110,29,11002699,20131105,LEGACY
110,29,11002699,20131202,LEGACY
110,30,11002699,20131202,LEGACY
110,29,11002699,20131216,LEGACY
110,31,11002699,20140114,LEGACY
110,29,11002699,20140114,LEGACY
110,29,11002699,20140127,LEGACY
110,30,11002699,20140127,LEGACY
110,29,11002699,20140224,LEGACY
110,30,11002699,20140224,LEGACY
110,29,11002826,20131230,LEGACY
110,29,11002826,20140109,LEGACY
110,29,11002826,20140127,LEGACY
110,29,11002826,20140129,LEGACY
110,29,11002826,20140219,LEGACY
110,31,11002889,20131105,LEGACY
110,29,11002889,20131105,LEGACY
110,29,11002889,20131106,LEGACY
110,31,11002889,20131106,LEGACY
110,30,11002889,20131106,LEGACY
110,30,11002889,20131107,LEGACY
110,29,11002889,20131107,LEGACY
110,29,11002889,20131118,LEGACY
110,31,11002889,20131118,LEGACY
110,30,11002889,20131119,LEGACY
110,31,11002889,20131119,LEGACY
110,29,11002889,20131119,LEGACY
110,29,11002889,20131120,LEGACY
110,31,11002889,20131120,LEGACY
110,30,11002889,20131120,LEGACY
110,30,11002889,20131121,LEGACY
110,29,11002889,20131121,LEGACY
110,31,11002889,20131123,LEGACY
110,29,11002889,20131123,LEGACY
110,29,11002889,20131125,LEGACY
110,31,11002889,20131125,LEGACY
110,30,11002889,20131126,LEGACY
110,31,11002889,20131126,LEGACY
110,29,11002889,20131126,LEGACY
110,29,11002889,20131127,LEGACY
110,31,11002889,20131127,LEGACY
110,30,11002889,20131127,LEGACY
110,29,11002889,20131129,LEGACY
110,29,11002889,20131202,LEGACY
110,30,11002889,20131202,LEGACY
110,31,11002889,20131202,LEGACY
110,31,11002889,20131203,LEGACY
110,29,11002889,20131203,LEGACY
110,29,11002889,20131204,LEGACY
110,29,11002889,20131204,LEGACY
110,31,11002889,20131204,LEGACY
110,30,11002889,20131204,LEGACY
110,30,11002889,20131205,LEGACY
110,29,11002889,20131205,LEGACY
110,29,11002889,20131206,LEGACY
110,31,11002889,20131206,LEGACY
110,31,11002889,20131207,LEGACY
110,29,11002889,20131207,LEGACY
110,29,11002889,20131209,LEGACY
110,30,11002889,20131209,LEGACY
110,31,11002889,20131209,LEGACY
110,29,11002889,20131211,LEGACY
110,31,11002889,20131211,LEGACY
110,30,11002889,20131211,LEGACY
110,30,11002889,20131212,LEGACY
110,29,11002889,20131212,LEGACY
110,29,11002889,20131213,LEGACY
110,31,11002889,20131213,LEGACY
110,31,11002889,20131214,LEGACY
110,29,11002889,20131214,LEGACY
110,29,11002889,20131216,LEGACY
110,30,11002889,20131216,LEGACY
110,31,11002889,20131216,LEGACY
110,29,11002889,20131218,LEGACY
110,31,11002889,20131218,LEGACY
110,30,11002889,20131218,LEGACY
110,30,11002889,20131219,LEGACY
110,29,11002889,20131219,LEGACY
110,29,11002889,20131220,LEGACY
110,31,11002889,20131220,LEGACY
110,31,11002889,20131221,LEGACY
110,29,11002889,20131221,LEGACY
110,30,11002889,20131226,LEGACY
110,29,11002889,20131226,LEGACY
110,29,11002889,20131227,LEGACY
110,31,11002889,20131227,LEGACY
110,29,11002889,20131230,LEGACY
110,30,11002889,20131230,LEGACY
110,31,11002889,20131230,LEGACY
110,29,11002889,20140103,LEGACY
110,31,11002889,20140103,LEGACY
110,31,11002889,20140104,LEGACY
110,29,11002889,20140104,LEGACY
110,29,11002889,20140106,LEGACY
110,30,11002889,20140106,LEGACY
110,31,11002889,20140106,LEGACY
110,31,11002889,20140107,LEGACY
110,29,11002889,20140107,LEGACY
110,29,11002889,20140108,LEGACY
110,31,11002889,20140108,LEGACY
110,30,11002889,20140108,LEGACY
110,30,11002889,20140109,LEGACY
110,29,11002889,20140109,LEGACY
110,29,11002889,20140110,LEGACY
110,31,11002889,20140110,LEGACY
110,31,11002889,20140111,LEGACY
110,29,11002889,20140111,LEGACY
110,29,11002889,20140113,LEGACY
110,30,11002889,20140113,LEGACY
110,31,11002889,20140113,LEGACY
110,31,11002889,20140114,LEGACY
110,29,11002889,20140114,LEGACY
110,29,11002889,20140115,LEGACY
110,29,11002889,20140115,LEGACY
110,31,11002889,20140115,LEGACY
110,30,11002889,20140115,LEGACY
110,30,11002889,20140116,LEGACY
110,29,11002889,20140116,LEGACY
110,29,11002889,20140117,LEGACY
110,31,11002889,20140117,LEGACY
110,29,11002889,20140122,LEGACY
110,29,11002889,20140122,LEGACY
110,31,11002889,20140122,LEGACY
110,30,11002889,20140122,LEGACY
110,30,11002889,20140123,LEGACY
110,29,11002889,20140123,LEGACY
110,29,11002889,20140124,LEGACY
110,31,11002889,20140124,LEGACY
110,31,11002889,20140125,LEGACY
110,29,11002889,20140127,LEGACY
110,29,11002889,20140127,LEGACY
110,30,11002889,20140127,LEGACY
110,31,11002889,20140127,LEGACY
110,31,11002889,20140128,LEGACY
110,29,11002889,20140128,LEGACY
110,29,11002889,20140129,LEGACY
110,29,11002889,20140129,LEGACY
110,31,11002889,20140129,LEGACY
110,30,11002889,20140129,LEGACY
110,29,11002889,20140131,LEGACY
110,31,11002889,20140201,LEGACY
110,29,11002889,20140201,LEGACY
110,31,11002889,20140204,LEGACY
110,29,11002889,20140204,LEGACY
110,29,11002889,20140205,LEGACY
110,30,11002889,20140205,LEGACY
110,31,11002889,20140205,LEGACY
110,30,11002889,20140206,LEGACY
110,29,11002889,20140206,LEGACY
110,29,11002889,20140207,LEGACY
110,31,11002889,20140207,LEGACY
110,31,11002889,20140208,LEGACY
110,29,11002889,20140208,LEGACY
110,29,11002889,20140210,LEGACY
110,29,11002889,20140210,LEGACY
110,30,11002889,20140210,LEGACY
