primary_student_id,student_id,date_added,ordinal_position
11006961,11006961,20111109,1
11006969,11006969,20111122,2
11006970,11006970,20111205,2
11006971,11006971,20111128,1
11006971,11006972,20111128,2
11006973,11006973,20111205,1
11006977,11006977,20111207,3
11006987,11006987,20120114,1
11007004,11007004,20120109,1
11007005,11007005,20120109,1
11007006,11007006,20120211,1
11007007,11007007,20120211,1
11007008,11007008,20120211,1
11007016,11007016,20120118,1
11007020,11007020,20120123,1
11007036,11007036,20120204,1
11007037,11007037,20120222,1
11007041,11007041,20120208,1
11007062,11007062,20120312,1
11006710,11007066,20120314,2
11007069,11007069,20120315,1
11007071,11007071,20120317,1
11007072,11007072,20120317,1
11007076,11007076,20120320,2
11007078,11007078,20120321,1
11007084,11007084,20120329,1
11007094,11007094,20120403,1
11007103,11007103,20120410,1
11007104,11007104,20120410,2
11007115,11007115,20120416,1
11007133,11007133,20120510,1
11007144,11007144,20120531,1
11007155,11007155,20120609,1
11007166,11007166,20120620,1
11007174,11007174,20120621,1
11007187,11007187,20120707,1
11007201,11007201,20120813,1
11007205,11007205,20120818,1
11007211,11007211,20080908,1
11007213,11007213,20100709,1
11007217,11007217,20120825,1
11007218,11007218,20120825,2
11007219,11007219,20120825,1
11007224,11007224,20120830,2
11007226,11007226,20120907,1
11007227,11007227,20120907,1
11007231,11007231,20120908,1
11007235,11007235,20120913,1
11007236,11007236,20120913,1
11007247,11007247,20120925,1
11007251,11007251,20121004,1
11007254,11007254,20121009,1
11007256,11007256,20121010,1
11007069,11007257,20121015,3
11007069,11007264,20121019,3
11007272,11007272,20121106,1
11007275,11007275,20121112,3
11007276,11007276,20121114,1
11007278,11007278,20121120,1
11007282,11007282,20101222,1
11006060,11007283,20121128,2
11007286,11007286,20121203,1
11007287,11007287,20121203,1
11007289,11007289,20121212,2
11007293,11007293,20130105,1
11007295,11007294,20130105,2
11007295,11007295,20130105,1
11007298,11007298,20130105,1
11005629,11007309,20130123,1
11007312,11007312,20130131,1
11007314,11007314,20130202,1
11007315,11007315,20130202,2
11007316,11007316,20130202,1
11007317,11007317,20130202,1
11007323,11007323,20130216,1
11007326,11007326,20130223,1
11007004,11007327,20130223,2
11005276,11007329,20130225,1
11007330,11007330,20130228,1
11007332,11007332,20130302,1
11007333,11007333,20130306,1
11007334,11007334,20130306,1
11007340,11007340,20130330,1
11007348,11007348,20130411,1
11007349,11007349,20090515,1
11007351,11007351,20130415,1
11007352,11007352,20130418,1
11007353,11007353,20130418,1
11007354,11007354,20130422,1
11004552,11007358,20130501,1
11007360,11007360,20130504,1
11003541,11007364,20130513,1
11007366,11007366,20130514,1
11007368,11007368,20130516,1
11007334,11007373,20130520,2
11007378,11007376,20100222,1
11007377,11007377,20120915,1
11007378,11007378,20031129,1
11007385,11007385,20130618,1
11007389,11007389,20130709,1
11007392,11007392,20130717,1
11007094,11007393,20130719,2
11007400,11007400,20130820,1
11007404,11007404,20130829,1
11007409,11007409,20130905,1
11007410,11007410,20130911,1
11007411,11007411,20130914,1
11005898,11007412,20130916,3
11007414,11007414,20130923,1
11007415,11007415,20130930,1
11007416,11007416,20131001,1
11007417,11007417,20131001,1
11007418,11007418,20131001,1
11007420,11007420,20131002,1
11007421,11007421,20131009,1
11007422,11007422,20131010,1
11007423,11007423,20131010,1
11007423,11007424,20131010,2
11007425,11007425,20120209,1
11007427,11007427,20131015,1
11007433,11007433,20131029,1
11007433,11007434,20131029,3
11007433,11007435,20131029,3
11007437,11007437,20131123,1
11007438,11007438,20131126,1
11007439,11007439,20131130,1
11007440,11007440,19980317,1
11007441,11007441,20131204,1
11007442,11007442,20131218,1
11007443,11007443,20131219,1
11007444,11007444,20140106,1
11007445,11007445,20140106,1
11007449,11007449,20140108,1
11007450,11007450,20140108,1
11007451,11007451,20140108,1
11007452,11007452,20140108,1
11007453,11007453,20140109,1
11007454,11007454,20140109,1
11007457,11007457,20140113,1
11007464,11007464,20140114,1
11007464,11007465,20140114,2
11007433,11007466,20140115,3
11007470,11007470,20140116,1
11007471,11007471,20140125,1
11007472,11007472,20140128,1
11007473,11007473,20140128,1
11007474,11007474,20140129,1
11007478,11007478,20140208,1
11007479,11007479,20140211,1
11007480,11007480,20140214,1
11007481,11007481,20140217,1
11007482,11007482,20140220,1
11007483,11007483,20140222,1
11007484,11007484,20140222,1
11007485,11007485,20140222,1
11007486,11007486,20140222,1
11007487,11007487,20140225,1
11090931,11090931,20090129,1
11006079,11090967,20091226,1
11005417,11090995,20100626,1
11006949,11091022,20070616,1
11006949,11091023,20070616,1
11006992,11091024,20070616,1
11006992,11091025,20070616,1
