contract_id,charge_id,income_type,amount,due_date,description,is_voided
1100380461,11003804611000,1, 1990.00,20130617,TUITION,0
1100380528,11003805281000,1, 3164.00,20121220,TUITION,0
1100417926,11004179261000,1, 1000.00,20130406,TUITION,0
1100417926,11004179261100,1,  990.00,20130505,TUITION,0
1100429917,11004299171000,1, 1990.00,20121215,TUITION,0
1100454729,11004547291000,1, 2388.00,20110726,TUITION,0
1100471416,11004714161000,1, 2981.00,20121214,TUITION,0
1100491627,11004916271000,1, 2425.00,20121214,TUITION,0
1100536228,11005362281000,1,  500.00,20130420,TUITION,0
1100536228,11005362281100,1,  172.00,20130520,TUITION,0
1100536228,11005362281200,1,  172.00,20130620,TUITION,0
1100536228,11005362281300,1,  172.00,20130720,TUITION,0
1100536228,11005362281400,1,  172.00,20130820,TUITION,0
1100536228,11005362281500,1,  172.00,20130920,TUITION,0
1100536228,11005362281600,1,  172.00,20131020,TUITION,0
1100536228,11005362281700,1,  172.00,20131120,TUITION,0
1100536228,11005362281800,1,  172.00,20131220,TUITION,0
1100536228,11005362281900,1,  172.00,20140120,TUITION,0
1100536228,11005362282000,1,  172.00,20140220,TUITION,0
1100536228,11005362282100,1,  168.00,20140320,TUITION,0
1100545629,11005456291000,1, 4302.00,20121003,TUITION,0
1100546111,11005461111000,1,  500.00,20130420,TUITION,0
1100546111,11005461111100,1,  128.00,20130520,TUITION,0
1100546111,11005461111200,1,  128.00,20130620,TUITION,0
1100546111,11005461111300,1,  128.00,20130720,TUITION,0
1100546111,11005461111400,1,  128.00,20130820,TUITION,0
1100546111,11005461111500,1,  128.00,20130920,TUITION,0
1100546111,11005461111600,1,  128.00,20131020,TUITION,0
1100546111,11005461111700,1,  128.00,20131120,TUITION,0
1100546111,11005461111800,1,  128.00,20131220,TUITION,0
1100546111,11005461111900,1,  128.00,20140120,TUITION,0
1100546111,11005461112000,1,  128.00,20140220,TUITION,0
1100546111,11005461112100,1,  128.00,20140320,TUITION,0
1100548621,11005486211000,1,   99.00,20130420,TUITION,0
1100548621,11005486211100,1,   83.00,20130520,TUITION,0
1100548621,11005486211200,1,   83.00,20130620,TUITION,0
1100548621,11005486211300,1,   83.00,20130720,TUITION,0
1100548621,11005486211400,1,   83.00,20130820,TUITION,0
