payment_id,contract_id,amount,date_realized
11003804611001,1100380461,  176.89,20130701
11003804611001,1100380461,  176.89,20130801
11003804611001,1100380461,  176.89,20130901
11003804611001,1100380461,  176.89,20131001
11003804611001,1100380461,  176.89,20131101
11003804611001,1100380461,  176.89,20131201
11003804611001,1100380461,  176.89,20140101
11003804611001,1100380461,  176.89,20140201
11003804611001,1100380461,  176.88,20140301
11003805281001,1100380528,  125.00,20130101
11003805281001,1100380528,  125.00,20130201
11003805281001,1100380528,  125.00,20130301
11003805281001,1100380528,  125.00,20130401
11003805281001,1100380528,  125.00,20130501
11003805281001,1100380528,  125.00,20130601
11003805281001,1100380528,  125.00,20130701
11003805281001,1100380528,  125.00,20130801
11003805281001,1100380528,  125.00,20130901
11003805281001,1100380528,  125.00,20131001
11003805281001,1100380528,  125.00,20131101
11003805281001,1100380528,  125.00,20131201
11003805281001,1100380528,  125.00,20140101
11003805281001,1100380528,  125.00,20140201
11003805281001,1100380528,  125.00,20140301
11003805281001,1100380528,  125.00,20140401
11003805281001,1100380528,  125.00,20140501
11004179261001,1100417926,   88.00,20130501
11004179261001,1100417926,   88.00,20130601
11004179261001,1100417926,   88.00,20130701
11004179261001,1100417926,   88.00,20130801
11004179261001,1100417926,   88.00,20130901
11004179261001,1100417926,   88.00,20131001
11004179261001,1100417926,   88.00,20131101
11004179261001,1100417926,   88.00,20131201
11004179261001,1100417926,   88.00,20140101
11004299171001,1100429917,  154.00,20130101
11004299171001,1100429917,  154.00,20130201
11004299171001,1100429917,  154.00,20130301
11004299171001,1100429917,  154.00,20130401
11004299171001,1100429917,  154.00,20130501
11004299171001,1100429917,  154.00,20130601
11004299171001,1100429917,  154.00,20130701
11004299171001,1100429917,  154.00,20130801
11004299171001,1100429917,  154.00,20130901
11004714161001,1100471416,   31.00,20121201
11004714161001,1100471416,   31.00,20130101
11004714161001,1100471416,   31.00,20130201
11004714161001,1100471416,   31.00,20130301
11004714161001,1100471416,   31.00,20130401
11004714161001,1100471416,   31.00,20130501
11004714161001,1100471416,   31.00,20130601
11004714161001,1100471416,   31.00,20130701
11004714161001,1100471416,   31.00,20130801
11004714161001,1100471416,   31.00,20130901
11004714161001,1100471416,   31.00,20131001
11004714161001,1100471416,   31.00,20131101
11004714161001,1100471416,   31.00,20131201
11004714161001,1100471416,   31.00,20140101
11004714161001,1100471416,   31.00,20140201
11004714161001,1100471416,   31.00,20140301
11004714161001,1100471416,   31.00,20140401
11004714161001,1100471416,   31.00,20140501
11004714161002,1100471416,   35.00,20130101
11004714161002,1100471416,   35.00,20130201
11004714161002,1100471416,   35.00,20130301
11004714161002,1100471416,   35.00,20130401
11004714161002,1100471416,   35.00,20130501
11004714161002,1100471416,   35.00,20130601
11004714161002,1100471416,   35.00,20130701
11004714161002,1100471416,   35.00,20130801
11004714161002,1100471416,   35.00,20130901
11004714161002,1100471416,   35.00,20131001
11004714161002,1100471416,   35.00,20131101
11004714161002,1100471416,   35.00,20131201
11004714161002,1100471416,   35.00,20140101
11004714161002,1100471416,   35.00,20140201
11004714161002,1100471416,   35.00,20140301
11004714161002,1100471416,   35.00,20140401
11004714161002,1100471416,   35.00,20140501
11004714161006,1100471416,   40.00,20130201
11004714161006,1100471416,   40.00,20130301
11004714161006,1100471416,   40.00,20130401
11004714161006,1100471416,   40.00,20130501
11004714161006,1100471416,   40.00,20130601
11004714161006,1100471416,   40.00,20130701
11004714161006,1100471416,   40.00,20130801
11004714161006,1100471416,   40.00,20130901
11004714161006,1100471416,   40.00,20131001
11004714161006,1100471416,   40.00,20131101
